X,Y,OBJECTID,Asset_ID
151.204545954743,-33.8729230621433,1,1241
151.204607000545,-33.8729040232825,2,1240
151.206394962683,-33.8742520197108,3,B1205
151.206334962733,-33.8742520479195,4,B1206
151.187666585099,-33.8846027492864,5,B1227
151.207976019335,-33.9032919445785,6,B3416
151.209759995851,-33.9118129853486,7,B3380
151.203585019025,-33.9188160162622,8,B3407
151.195121991457,-33.9033730318668,9,B3384
151.229140912983,-33.8945250472276,10,B3415
151.225563010398,-33.8674259961954,11,B3381
151.22551993113,-33.8964319671302,12,B3382
151.205010089972,-33.8670869873117,13,B1200
151.211452982616,-33.879924021353,14,B3428
151.213287007467,-33.8805060185104,15,B3426
151.200139975778,-33.9219189780663,16,B3429
151.195503998611,-33.9025909637095,17,B3419
151.201235075968,-33.9126660472476,18,B3404
151.209309018592,-33.9011449979493,19,B1228
151.206921993099,-33.8642709988678,20,B1202
151.207179035589,-33.8642919624589,21,B1197
151.207064939603,-33.8642739807303,22,B1198
151.206970943684,-33.864276941313,23,B1199
151.206994005405,-33.8642699727829,24,B1201
151.206775933567,-33.8642669796164,25,B1203
151.179003972269,-33.8909649581882,26,B3425
151.180188947852,-33.8860680163702,27,5091
151.208598029903,-33.9035260682705,28,3420
151.186277952217,-33.9001600638397,29,B3430
151.203498920241,-33.8661410375507,30,
151.176478962684,-33.8807549524838,31,B5084
151.176649050049,-33.8804489865142,32,B5085
151.205365996141,-33.8702090442346,33,B1210
151.222654033451,-33.8687680672551,34,B3402
151.197562010509,-33.8844390067055,35,B1214
151.197696041386,-33.8844459274042,36,B1213
151.204734969482,-33.8646920084285,37,B1208
151.191260975037,-33.8833040564249,38,
151.177519970764,-33.8848330359433,39,
151.179098213508,-33.884033362772,40,B5083
